taller
bigger
brighter
older
younger
better
cheaper
reacher
hotter
thinner
worse
stronger
weaker
easier
harder
happier
busier
louder
smaller
braver
colder
fatter
higher
lighter
longer
odder
quicker
richer
shorter
sweeter
wiser
warmer
newer
dirtier
prettier
faster
nearer
