cough
dance
die
fall
fly
jump
sit
sleep
stand
travel
wait
walk
weep
laugh
smile
sing
clap
cry
disappear
sneeze
appear
emerge
swim
emigrate
act
explode
arrive
look
respond
wake
run
grow
